pub_id,name,business_description,first_timestamp,parent_dataset,keywords,frequency,basis_document,comments
Аналитика/22,Кредит экономике и денежная масса,"Ежемесячная статистика динамики кредитования экономики и широкой денежной массы М2Х в Российской Федерации. Данные включают абсолютные значения и темпы прироста требований к организациям и населению, а также структуру денежной массы (наличные, депозиты, сертификаты). Показатели представлены с исключением валютной переоценки (ИВП) и детализированы по секторам экономики и типам финансовых инструментов.",Первый доступный файл публикации датирован 01.06.2025.,Денежно-кредитная и финансовая статистика,кредит экономике; денежная масса; М2Х; требования к организациям; кредиты населению; корпоративные кредиты; корпоративные облигации; депозиты; наличные деньги; темпы прироста; ИВП; банковский сектор; статистика,ежемесячная,«Руководство по денежно-кредитной и финансовой статистике (2016)»,Данные приведены с исключением валютной переоценки (ИВП).
Аналитика/18,Инфляционные ожидания и потребительские настроения,"Ежемесячная аналитическая публикация, отражающая динамику инфляционных ожиданий населения на годовом и пятилетнем горизонтах, а также наблюдаемой инфляции по данным опросов. Включает оценку ценовых ожиданий предприятий по отраслям, индексы потребительских настроений и склонности к сбережению, а также вмененную инфляцию по ОФЗ-ИН. Содержит сравнение с прогнозами профессиональных аналитиков и официальными прогнозами Банка России по уровню инфляции.",Первый выпуск публикации датирован декабрем 2013 года.,Инфляционные ожидания,инфляционные ожидания; потребительские настроения; ценовые ожидания предприятий; вмененная инфляция; ОФЗ-ИН; опрос населения; мониторинг предприятий; индекс потребительских настроений; прогноз инфляции; денежно-кредитная политика; наблюдаемая инфляция; баланс ответов; сбережения; профессиональные аналитики; отраслевая разбивка,ежемесячная,Приложение 1 к Основным направлениям единой государственной денежно-кредитной политики на 2026 год и период 2027 и 2028 годов,не указан
Аналитика/10,Обзор ключевых показателей брокеров,"Ежеквартальная аналитика состояния рынка розничных инвестиций и деятельности брокерских компаний в России. Публикация включает динамику клиентской базы, объемы активов на счетах физических и юридических лиц, структуру портфелей по классам активов и нетто-взносы. Содержит финансовые результаты брокеров-НФО: выручку, чистую прибыль, рентабельность капитала и данные о зарплатах сотрудников. Дополнительно представлены макроэкономические индикаторы, такие как инфляционные ожидания населения и спреды доходности корпоративных облигаций.",Первый доступный отчетный период в наборе данных — I квартал 2023 года.,Рынок ценных бумаг,брокеры; розничные инвесторы; активы; облигации; акции; нетто-взносы; финансовые результаты; НФО; рынок ценных бумаг; портфели; квалифицированные инвесторы; рентабельность; биржевые торги; структура активов; инфляционные ожидания,ежеквартальная,не указан,Данные основаны на отчетности брокеров и статистике биржевых площадок; финансовые результаты рассчитываются без учета организаций с нерыночным характером деятельности; инфляционные ожидания взяты из опроса Интерфакса.
Аналитика/20,Прекращение деятельности финансовых организаций,"Статистика и аналитика по процедурам прекращения деятельности кредитных организаций, страховых компаний, негосударственных пенсионных фондов и микрофинансовых организаций. Данные включают динамику назначения и работы временных администраций, объемы активов по оценке ликвидаторов, сроки конкурсного производства и принудительной ликвидации. Публикация содержит показатели удовлетворения требований кредиторов, статистику аккредитации арбитражных управляющих и информацию о направлении материалов в правоохранительные органы. Информация представлена в разрезе типов финансовых организаций, федеральных округов и стадий ликвидационных процедур.",Первое формирование публикации зафиксировано в отчете за 2018–2019 годы.,Банковский сектор,ликвидация; банкротство; временная администрация; кредитные организации; страховые организации; негосударственные пенсионные фонды; микрофинансовые организации; арбитражные управляющие; удовлетворение требований кредиторов; активы; Агентство по страхованию вкладов; конкурсное производство; принудительная ликвидация; федеральные округа; аккредитация,полугодовая,Федеральный закон от 26.10.2002 № 127‑ФЗ «О несостоятельности (банкротстве)»,не указан
Аналитика/23,Оценка платежного баланса Российской Федерации,"Ежеквартальная статистика и аналитическая оценка платежного баланса Российской Федерации, включающая динамику счета текущих операций, торгового баланса и финансового счета. Публикация содержит детализированные данные об экспорте и импорте товаров и услуг, структуре международных расчетов в различных валютах, а также показатели внешнего долга и прямых инвестиций. Предоставляется разбивка по товарным группам, географическим направлениям и статьям баланса с графической визуализацией ключевых трендов.",Первый выпуск публикации в представленном наборе данных датируется III кварталом 2019 года.,Денежно-кредитная политика,платежный баланс; счет текущих операций; торговый баланс; экспорт товаров; импорт товаров; баланс услуг; финансовый счет; внешний долг; международные резервы; нефтегазовый экспорт; расчеты в рублях; инвестиционные доходы; прямые инвестиции; портфельные инвестиции; валютные операции,ежеквартальная,"распоряжение Правительства Российской Федерации от 05.03.2022 № 430-р «Об утверждении перечня иностранных государств и территорий, совершающих недружественные действия в отношении Российской Федерации, российских юридических и физических лиц» (Перечень)",не указан
Аналитика/1,О проектном финансировании строительства жилья,"Ежеквартальная аналитика состояния рынка проектного финансирования строительства жилья в Российской Федерации, включающая динамику запусков проектов, объемов продаж и ввода в эксплуатацию. Публикация содержит данные о кредитных лимитах, портфеле кредитов застройщиков, качестве кредитных активов и уровне резервирования. Представлен детальный анализ потоков средств на счетах эскроу, их остатков и покрытия задолженности. Данные разрезаны по типам жилья (многоквартирные и индивидуальные дома) и федеральным округам.",Первый доступный отчет охватывает I квартал 2021 года.,Банковский сектор,проектное финансирование; строительство жилья; счета эскроу; застройщики; ипотека; кредитные лимиты; ЕИСЖС; многоквартирные дома; индивидуальные жилые дома; портфель кредитов; федеральные округа; долевое строительство; Росстат; рынок недвижимости; качество кредитов,ежеквартальная,"Постановление Правительства Российской Федерации от 18.03.24 № 326 «Об установлении особенностей применения неустойки (штрафа, пени), иных финансовых санкций, а также других мер ответственности за неисполнение или ненадлежащее исполнение обязательств по договорам участия в долевом строительстве, установленных законодательством о долевом строительстве»",не указан
Аналитика/16,Противодействие нелегальной деятельности на финансовом рынке,"Аналитическая статистика по выявленным субъектам с признаками нелегальной деятельности, включая финансовые пирамиды, нелегальных кредиторов и профессиональных участников рынка ценных бумаг. Данные детализированы по организационно-правовым формам нарушителей, методам мошеннических схем и характеристикам незаконного привлечения инвестиций. Публикация содержит информацию о мерах регулятора: количестве возбужденных административных дел и ограниченных интернет-ресурсах. Охватывает динамику показателей за 2020–2025 годы с разбивкой по полугодиям и годам.",Первое формирование публикации относится к 2020 году.,Противодействие недобросовестным практикам участников рынка,нелегальная деятельность; финансовые пирамиды; нелегальные кредиторы; нелегальные брокеры; незаконное привлечение инвестиций; финансовый рынок; мошенничество; криптовалюты; административные дела; блокировка ресурсов; дропперство; псевдоброкеры; нелегальные форекс-дилеры; потребительские кооперативы; интернет-проекты,ежегодная,КоАП РФ,Данные по категории «Незаконное привлечение инвестиций» учитываются только со второго полугодия 2025 года.
Аналитика/11,Сведения о рынке ипотечного жилищного кредитования в России,"Ежемесячная статистика по динамике ипотечного жилищного кредитования, включающая объемы выдачи, сальдо задолженности, просрочку и средневзвешенные процентные ставки. Данные детализированы по видам кредитов (ДДУ, ИЖС, вторичное жилье), программам государственной поддержки и валюте предоставления. Публикация содержит региональный разрез показателей по субъектам РФ и федеральным округам, а также информацию о средней стоимости квадратного метра жилья и структуре досрочного погашения.","Первый выпуск публикации в текущем формате датирован январем 2021 года, исторические данные охватывают период с 2018 года.",Информационный бюллетень «Сведения о рынке ипотечного жилищного кредитования в России»,ипотечное кредитование; ИЖК; выдача кредитов; задолженность; просрочка; процентные ставки; господдержка; семейная ипотека; ДДУ; ИЖС; региональная статистика; рынок жилья; досрочное погашение; рефинансирование; права требования,ежемесячная,"Указание Банка России от 10.04.2023 № 6406‑У ""О формах, сроках, порядке составления и представления отчетности кредитных организаций (банковских групп) в Центральный банк Российской Федерации, а также о перечне информации о деятельности кредитных организаций (банковских групп)""",не указан
Аналитика/12,Мониторинг отраслевых финансовых потоков,"Ежемесячная статистика динамики входящих и исходящих финансовых потоков через платежную систему Банка России, сгруппированных по отраслям экономики, федеральным округам и категориям спроса. Данные представлены в виде сезонно сглаженных индексов и темпов роста с устранением влияния календарных факторов и выбросов. Публикация включает детализацию драйверов изменений для групп потребительского, государственного, инвестиционного, промежуточного и внешнего спроса. Дополнительно предоставляются недельные и месячные отклонения потоков от среднего уровня предшествующего квартала и базового уровня 2019 года.",Первый выпуск публикации сформирован 16.04.2020.,Мониторинг отраслевых финансовых потоков,входящие платежи; исходящие платежи; отраслевые финансовые потоки; ОКВЭД 2; сезонная корректировка; федеральные округа; потребительский спрос; инвестиционный спрос; экспортный спрос; индекс платежей; валовая добавленная стоимость; платежная система; мониторинг экономики; винзоризация; темпы роста,ежемесячная,"«Общероссийский классификатор видов экономической деятельности» (ОК 029-2014 (КДЕС Ред. 2)); «Мониторинг отраслевых финансовых потоков» №32 от 26.11.2020, раздел «Методологический комментарий»","Данные содержат сезонную корректировку и винзоризацию; часть статистического приложения обновляется еженедельно, основная аналитика — ежемесячно; базовый год для индексов — 2019."
Аналитика/14,Тенденции сегмента индивидуальных инвестиционных счетов,"Ежеквартальная аналитика и статистика по рынку индивидуальных инвестиционных счетов (ИИС) в Российской Федерации. Публикация включает динамику количества открытых и закрытых счетов, объемов активов и нетто-взносов с разбивкой по типам управления (брокерские счета, доверительное управление) и типам счетов. Предоставлена детальная структура портфелей инвесторов по классам активов: облигации, акции, паи ПИФ, денежные средства и иные инструменты. Данные охватывают период с 2020 года по текущий отчетный квартал, сопровождаясь аналитическими обзорами влияния ключевой ставки и налоговых льгот на поведение инвесторов.",Первое формирование публикации относится к III кварталу 2023 года.,Рынок ценных бумаг,ИИС; индивидуальные инвестиционные счета; брокерские счета; доверительное управление; нетто-взносы; структура активов; облигации; акции; паи ПИФ; ликвидность счетов; рынок ценных бумаг; инвестиции; ключевая ставка; налоговые льготы; портфель инвестора,ежеквартальная,формы 0420431 по брокерам – НФО (30.06.2023); формы 0409724 по брокерам – КО (31.03.2024),"Данные не включают ИИС в рамках открытых ПИФ. Методология расчета нетто-взносов изменилась: до 30.06.2023 и 31.03.2024 рассчитывалась только по денежным средствам, после — по всем активам. В категории «Прочее» активов могут встречаться отрицательные значения."
Аналитика/24,Инфляция в России,"Ежемесячная статистика и аналитика динамики потребительских цен в Российской Федерации, включающая темпы годовой и месячной инфляции, базового ИПЦ и медианной инфляции. Данные детализированы по группам товаров и услуг (продовольственные, непродовольственные, ЖКУ), а также по регионам и федеральным округам. Публикация содержит оценку вклада ключевых факторов в изменение цен, анализ влияния мировых цен и обменного курса, а также прогнозные оценки инфляционных процессов.",Первый документ в наборе датирован январем 2016 года.,Инфляция в России,инфляция; ИПЦ; потребительские цены; базовая инфляция; сезонная корректировка; продовольственные товары; непродовольственные товары; услуги; плодоовощная продукция; ЖКХ; региональная инфляция; федеральные округа; мировые цены; обменный курс; прогноз инфляции; Росстат,ежемесячная,"Доклад о денежно-кредитной политике, № 2 (26), июнь 2019 г.",не указан
Аналитика/27,Мониторинг предприятий,"Ежемесячные результаты конъюнктурного опроса нефинансовых предприятий, включающие оценки текущего бизнес-климата, динамики производства, спроса, цен и инвестиционной активности. Публикация содержит краткосрочные ожидания бизнеса, данные по обеспеченности трудовыми ресурсами и условиям кредитования. Информация представлена в виде балансов ответов и индикатора бизнес-климата с детализацией по отраслям, размерам предприятий и регионам. Включает историческую динамику показателей с 2016 года и региональную карту бизнес-климата.",Первый доступный выпуск публикации зафиксирован в мае 2022 года.,Мониторинг предприятий,Индикатор бизнес-климата; бизнес-климат; конъюнктурный опрос; нефинансовый сектор; производство; спрос; ценовые ожидания; инвестиционная активность; трудовые ресурсы; условия кредитования; издержки; загрузка мощностей; региональная экономика; ожидания предприятий; баланс ответов,ежемесячная,не указан,не указан
Аналитика/30,СБП: основные показатели,"Аналитический обзор деятельности Системы быстрых платежей с детализацией по количеству и суммам операций, включая переводы между гражданами, оплату товаров и услуг, а также переводы от юридических лиц физическим лицам. Данные содержат статистику по динамике активности предприятий торговли и сервиса (ТСП) с выделением доли субъектов МСП. Публикация включает показатели по операциям с использованием кешбэка и среднесуточным объемам транзакций. Информация представлена в разрезе кварталов и годов за период с 2021 по 2025 год.",Первый доступный отчет охватывает I квартал 2022 года.,Национальная платежная система,Система быстрых платежей; СБП; переводы между гражданами; оплата товаров и услуг; переводы юридических лиц; количество операций; сумма операций; предприятия торговли и сервиса; ТСП; субъекты МСП; кешбэк; национальная платежная система; динамика платежей; объемы транзакций; платежная активность,ежеквартальная,не указан,не указан
